port1_H,port2_H,port3_H,port4_H,port1_D,port2_D,port3_D,port4_D,V1,V2,V3,V4,Cost
0.17040721397951952,0.3311219539276524,0.055588886674233624,0.4428819454185943,0.3367950279233651,0.17142165015093935,0.23991956836573322,0.25186375355996243,-1989.5711364376693,-1989.5711364376693,1989.5711364376693,1989.5711364376693,0.004327486880335483
0.19683428708832787,0.30241320548877304,0.027164439699543567,0.47358806772335554,0.31256633196771616,0.19428630832891805,0.215596743260237,0.27755061644312884,-2223.5710012890363,-2223.5710012890363,1755.5712715863024,2223.5710012890363,0.4383037008549404
0.16454865657793408,0.33627481384115876,0.04346046222305321,0.45571606735785397,0.2704418252052717,0.23909685209739595,0.24147593609900764,0.24898538659832464,-2417.6917382564448,-2029.4502643216279,1949.6920085537108,2417.6917382564448,0.44793950485967543
0.1783207926049403,0.32478950388143757,0.09767917566268135,0.3992105278509407,0.12681066272484803,0.39559953479740256,0.36320830652576336,0.11438149595198613,-3324.3972057107057,-1122.7447968673669,1042.9865410994498,3324.3972057107057,0.4399014689921322
0.19421083692971722,0.30851299354715567,0.09882651023213941,0.3984496592909877,0.12131890719631197,0.4012624215008647,0.3603532884838087,0.11706538281901456,-3189.6693706349515,-1257.472631943121,1177.714376175204,3459.12504078646,0.32219531514311717
0.22597952027095725,0.27788754521754006,0.13291349631367694,0.36321943819782565,0.022886844849100446,0.4986386355734692,0.28972496930439545,0.18874955027303486,-3746.0907163083652,-701.0512862697075,621.2930305017904,4015.5463864598737,0.3058807587402919
0.21519738279725273,0.2847980328278113,0.054618149919062664,0.4453864344558733,0.009169874997323413,0.5085848458125417,0.22927854416893664,0.2529667350211982,-4085.04661130854,-362.09539126953297,960.248925501965,3676.590491459699,0.37189221367196496
0.17512881855487858,0.32806327635947585,0.093015991092524,0.40379191399312164,0.0033558344726212315,0.5171309501990485,0.263937154945424,0.21557606038290608,-3806.3095515667524,-83.35833152774529,681.5118657601773,3397.8534317179115,0.5003041594282869
0.1742081337075223,0.32890344938201255,0.08981904397818306,0.4070693729322822,0.003763674048617727,0.5169065132401053,0.26577370120394894,0.213556111507328,-3827.85401087671,-104.90279083770315,703.0563250701351,3376.3089724079537,0.49621394993816803
0.18447719366972504,0.3174992351082071,0.07628562054784985,0.4217379506742181,0.003939284462083963,0.5159615551052311,0.25399042398777166,0.2261087364449132,-3928.640915982134,-205.68969594312705,803.843230175559,3477.0958775133777,0.49718594424551027
0.2224698791243055,0.28659672204711223,0.21368361331468808,0.2772497855138942,0.019670252777422355,0.5036280853076338,0.3129031541406271,0.16379850777431676,-3359.1176616000803,-775.2129503251809,234.31997579350514,4046.6191318954316,0.5030690118467818
0.1469602867426098,0.3654264599046531,0.2321667332945071,0.2554465200582301,0.004911479559733999,0.5127578772762938,0.214344498427501,0.2679861447364711,-2947.057550400915,-363.1528391260155,646.3800869926706,4458.679243094597,0.33999243725301387
0.14188487724652096,0.3601936969350246,0.049242048186048444,0.448679377632406,0.05171811669490331,0.4645609506575644,0.19215102334715206,0.2915699093003802,-3866.8720763666074,556.6616868396773,1566.1946129583635,3538.8647171289044,0.54040161513766
0.14996636095448848,0.35163642263568484,0.04841655147962013,0.44998066493020666,0.03473662467348719,0.4821560450971028,0.19860382849653663,0.2845035017328733,-4007.512174427856,416.021588778429,1425.5545148971153,3398.224619067656,0.6028307396818194
0.2809325532933945,0.21493248817778848,0.007883191312966414,0.49625176721585057,0.06164418302796778,0.44956459474052124,0.12379186367198977,0.36499935855952126,-4457.500806360586,-33.96704315430054,1875.5431468298448,3848.2132510003858,0.5990992309685567
0.33033238790763086,0.1651015523908341,0.012355239170034026,0.49221082053150106,0.08281947764990107,0.42621868716812167,0.09973153122984761,0.39123030395212954,-4608.698220387734,-185.16445718144936,2026.7405608569936,3999.4106650275344,0.5635697390402761
0.3304167180542428,0.16529587399900605,0.012177608651780419,0.4921097992949706,0.08359660498555824,0.42588136786705844,0.10103890717309458,0.3894831199742887,-4621.928549413871,-171.9341281553123,2039.9708898831307,3986.1803360013973,0.543365637439378
0.33325108861480607,0.16228245788158185,0.012798868493491718,0.4916675850101204,0.08142950655761938,0.4275449716655936,0.10011100082053558,0.39091452095625145,-4672.353550115331,-222.3591288567718,1989.545889181671,3935.755335299938,0.5406899894583925
0.2906651359888855,0.20558571901965458,0.005332034406617087,0.49841711058484295,0.03653232184727121,0.4752009225379088,0.13224439529996876,0.3560223603148513,-5030.855400051344,-580.8609787927851,1631.0440392456578,3577.253485363925,0.5416782747305946
