V1,V2,V3,V4,Cost
1993.4832203786862,1993.4832203786862,2006.5167796213138,1993.4832203786862,0.0029379755403740495
2022.3247050954546,2022.3247050954546,2035.3582643380823,1964.6417356619177,0.48855624587392193
1899.4933415670353,2145.156068623874,1912.526900809663,2087.473099190337,0.48660229546644423
1969.7209218347919,2074.9284883561177,1842.2993205419064,2157.7006794580934,0.5335702774576456
1977.884149579898,2066.765260611012,1850.4625482870124,2165.8639072031992,0.5361238346579892
1905.986770217369,1994.867881248483,1778.5651689244835,2237.761286565728,0.5354763059296037
1825.2967825887008,2075.557868877151,1697.8751812958153,2318.4512741943963,0.5467394723532429
2001.8310076798193,2252.0920939682696,1874.4094063869338,2494.985499285515,0.571934380456609
2078.1711072417415,2175.7519944063474,1950.7495059488563,2571.325598847437,0.6023891084707365
1874.3799474714247,2379.5431541766643,1746.9583461785394,2775.116758617754,0.6021510341974113
1563.1252691280602,2690.797832520029,1435.7036678351749,3086.3714369611184,0.6782441524629766
2123.7400737058683,3251.412637097837,875.0888632573668,3646.9862415389266,0.7709482200693831
2291.435051088206,3419.1076144801746,707.3938858750291,3814.681218921264,0.9641112301705644
2095.655519660297,3223.328083052266,903.1734173029379,4010.460750349173,0.9648776041700002
1912.299085225619,3039.9716486175876,1086.5298517376161,3827.1043159144947,0.9613314357372089
1905.2209132012306,3047.049820641976,1079.4516797132278,3834.1824879388832,0.971140750054805
1957.475582315635,2994.7951515275718,1131.7063488276322,3886.4371570532876,0.9702533688709192
2215.003738771934,3252.323307983871,874.1781923713329,4143.965313509587,0.9781360391215982
1951.4318346424225,3515.8952121133825,1137.7500965008444,3880.3934093800754,0.9539620238876421
2269.8651280733757,3834.3285055443357,819.3168030698913,4198.826702811029,0.942842496155218
2471.739551219385,4036.202928690345,1021.1912262159003,4400.701125957037,0.8426310643899817
2443.651951949852,4064.2905279598776,1049.2788254854331,4372.613526687504,0.7437015087435855
2134.060648994249,3754.6992250042745,1358.8701284410363,4682.204829643108,0.740870346947744
2680.650290354145,3208.1095836443783,1905.4597698009322,4135.615188283212,0.7488487154469186
2536.3291137476904,3063.7884070379237,1761.1385931944778,4279.936364889666,0.8315458342398079
2334.072426079756,3266.045094705858,1558.8819055265435,4482.193052557601,0.8680112797438855
2568.6456806826104,3031.4718401030036,1793.455160129398,4716.766307160456,0.8459368504905651
2449.6146753407807,2912.440834761174,1912.4861654712279,4835.797312502285,0.8134342703335957
2426.7317252282346,2935.32378487372,1935.369115583774,4812.91436238974,0.8155703977556349
2609.4436698499508,3118.035729495436,2118.0810602054903,4995.626307011456,0.8191626962252359
2634.5918445446287,3143.183904190114,2092.9328855108124,4970.478132316778,0.719724192467247
3112.8410208370956,2664.934727897647,1614.6837092183455,4492.228956024312,0.7166533679336508
3025.005110778531,2577.0988178390826,1702.5196192769101,4580.0648660828765,0.7544677698254226
2927.5684343376215,2674.5354942799922,1605.0829428360005,4677.501542523786,0.7616744556129555
2772.7510154023166,2829.352913215297,1450.2655239006958,4832.318961459091,0.7621873711139736
2836.737499064887,2893.3393968778673,1514.252007563266,4896.305445121661,0.7527434163687873
2777.1045602736995,2952.9723356690547,1573.8849463544536,4955.938383912849,0.7235248293035129
